id,country,object_type,launch_year,altitude_km,orbit_type,status
2550,South Korea,Debris,1994,24395.36,GEO,Active
2551,UAE,Debris,1996,16852.46,MEO,Inactive
2552,Russia,Debris,2021,16439.68,MEO,Inactive
2553,Russia,Debris,1998,730.58,LEO,Active
2554,Israel,Debris,1983,4701.49,MEO,Inactive
2555,Germany,Payload,1980,22158.38,GEO,Inactive
2556,Australia,Payload,1998,34412.01,GEO,Active
2557,Canada,Debris,1969,21667.19,GEO,Active
2558,France,Payload,2020,21891.4,GEO,Active
2559,Canada,Debris,1981,9183.93,MEO,Inactive
2560,Brazil,Debris,1983,956.07,LEO,Inactive
2561,China,Debris,2022,31067.89,GEO,Inactive
2562,UAE,Debris,1962,3099.92,MEO,Active
2563,Israel,Debris,2022,23182.05,GEO,Inactive
2564,Russia,Payload,2015,2952.37,MEO,Inactive
2565,United States,Payload,1993,918.71,LEO,Active
2566,Germany,Rocket Body,2017,27500.35,GEO,Active
2567,China,Payload,1979,3586.22,MEO,Inactive
2568,Canada,Payload,2018,12907.83,MEO,Inactive
2569,Italy,Payload,1977,35248.84,GEO,Inactive
2570,Australia,Debris,2000,33820.14,GEO,Inactive
2571,Brazil,Debris,1960,15966.94,MEO,Active
2572,France,Payload,1969,6063.21,MEO,Inactive
2573,France,Debris,2009,31047.76,GEO,Inactive
2574,South Korea,Debris,1992,13977.73,MEO,Active
2575,Israel,Payload,1976,21226.98,GEO,Active
2576,China,Payload,1993,35234.58,GEO,Inactive
2577,Germany,Payload,2001,25139.18,GEO,Active
2578,UAE,Debris,1974,14399.36,MEO,Active
2579,Russia,Debris,2014,14999.65,MEO,Active
2580,India,Debris,1995,19138.72,MEO,Active
2581,Germany,Debris,1991,35492.45,GEO,Active
2582,United Kingdom,Rocket Body,1971,2658.53,MEO,Active
2583,South Korea,Payload,2012,28227.19,GEO,Active
2584,Japan,Debris,2025,25237.06,GEO,Inactive
2585,China,Payload,1968,14718.83,MEO,Active
2586,Canada,Debris,1999,19823.12,MEO,Inactive
2587,Australia,Payload,1996,19646.01,MEO,Inactive
2588,Canada,Debris,2017,11965.01,MEO,Active
2589,Russia,Debris,1997,21171.53,GEO,Active
2590,Japan,Debris,1977,28948.08,GEO,Active
2591,Australia,Payload,2014,18095.51,MEO,Active
2592,United Kingdom,Payload,2018,29865.82,GEO,Active
2593,Russia,Debris,1981,15551.16,MEO,Inactive
2594,Canada,Debris,2008,35377.06,GEO,Active
2595,China,Payload,1965,29307.26,GEO,Inactive
2596,United Kingdom,Debris,2006,32157.42,GEO,Active
2597,Russia,Debris,1983,26087.27,GEO,Inactive
2598,Israel,Debris,1974,8666.52,MEO,Inactive
2599,Russia,Rocket Body,1996,11057.5,MEO,Inactive
2600,United Kingdom,Rocket Body,1972,15348.79,MEO,Inactive
2601,Germany,Payload,1971,35322.29,GEO,Active
2602,India,Payload,2017,33276.09,GEO,Inactive
2603,China,Payload,1994,2553.81,MEO,Inactive
2604,Australia,Payload,1985,4273.19,MEO,Inactive
2605,Japan,Debris,1961,27963.98,GEO,Active
2606,Italy,Debris,1995,26111.84,GEO,Inactive
2607,United Kingdom,Payload,1986,23461.68,GEO,Active
2608,Brazil,Rocket Body,1999,24396.99,GEO,Active
2609,France,Payload,2024,10746.83,MEO,Inactive
2610,Israel,Payload,2024,11405.08,MEO,Active
2611,Japan,Debris,2005,15661.07,MEO,Active
2612,Canada,Payload,2024,8114.98,MEO,Active
2613,Australia,Payload,1981,22526.89,GEO,Active
2614,United Kingdom,Payload,2023,28577.68,GEO,Inactive
2615,Italy,Payload,2013,31499.73,GEO,Active
2616,Australia,Payload,2011,13687.18,MEO,Active
2617,United States,Debris,2006,19202.92,MEO,Active
2618,Italy,Payload,2021,21130.04,GEO,Inactive
2619,Canada,Payload,2010,7861.9,MEO,Active
2620,United Kingdom,Rocket Body,2010,27745.6,GEO,Inactive
2621,France,Payload,2025,6535.93,MEO,Inactive
2622,Israel,Payload,1967,11584.36,MEO,Inactive
2623,United States,Debris,2006,15622.96,MEO,Inactive
2624,China,Payload,2002,26310.08,GEO,Active
2625,Japan,Debris,1998,6338.88,MEO,Active
2626,Germany,Payload,1975,31162.53,GEO,Inactive
2627,Israel,Debris,1979,9284.8,MEO,Active
2628,South Korea,Debris,1995,23118.07,GEO,Active
2629,UAE,Debris,1999,15006.5,MEO,Inactive
2630,United States,Payload,2011,4745.63,MEO,Inactive
2631,Germany,Payload,2025,18989.73,MEO,Active
2632,Japan,Debris,2005,31759.5,GEO,Inactive
2633,Canada,Payload,2000,2744.63,MEO,Active
2634,United States,Payload,1982,9165.69,MEO,Inactive
2635,Canada,Debris,2011,31830.56,GEO,Inactive
2636,Italy,Debris,1966,35914.92,GEO,Inactive
2637,France,Payload,1960,9608.59,MEO,Active
2638,Brazil,Debris,2023,3935.96,MEO,Inactive
2639,China,Debris,2008,31939.11,GEO,Inactive
2640,UAE,Payload,1998,6868.82,MEO,Active
2641,Russia,Debris,1992,10983.02,MEO,Active
2642,Japan,Rocket Body,2022,4452.96,MEO,Active
2643,Japan,Payload,1967,22250.05,GEO,Inactive
2644,France,Rocket Body,1997,21504.94,GEO,Inactive
2645,Brazil,Debris,1968,3400.75,MEO,Inactive
2646,Germany,Debris,1991,7000.14,MEO,Active
2647,Israel,Payload,2010,4716.12,MEO,Inactive
2648,Japan,Payload,2009,2350.62,MEO,Active
2649,China,Debris,2017,27109.99,GEO,Active
2650,India,Debris,1986,34871.55,GEO,Active
2651,Italy,Payload,1984,28364.52,GEO,Inactive
2652,Japan,Payload,1991,28502.12,GEO,Inactive
2653,China,Payload,1967,10203.46,MEO,Active
2654,Italy,Debris,1983,24784.53,GEO,Inactive
2655,Germany,Debris,1964,26678.01,GEO,Active
2656,India,Debris,1967,10841.64,MEO,Active
2657,China,Debris,2003,32907.74,GEO,Inactive
2658,United States,Payload,2006,35854.31,GEO,Inactive
2659,South Korea,Debris,2009,27881.49,GEO,Active
2660,Russia,Payload,2023,34392.28,GEO,Active
2661,India,Payload,1971,11578.43,MEO,Active
2662,United States,Payload,2023,32901.9,GEO,Inactive
2663,United States,Payload,2016,29907.98,GEO,Active
2664,Germany,Debris,1987,11357.43,MEO,Active
2665,Italy,Debris,2014,19970.94,MEO,Inactive
2666,South Korea,Payload,1973,12261.89,MEO,Active
2667,Japan,Payload,2023,19191.27,MEO,Active
2668,China,Debris,1977,5398.9,MEO,Active
2669,South Korea,Rocket Body,2022,3715.07,MEO,Inactive
2670,India,Debris,1971,18338.14,MEO,Active
2671,Russia,Payload,2003,19307.05,MEO,Inactive
2672,Australia,Debris,2010,28344.73,GEO,Active
2673,United Kingdom,Payload,1995,29522.19,GEO,Inactive
2674,Russia,Debris,1973,14081.83,MEO,Active
2675,Russia,Payload,1961,6435.09,MEO,Inactive
2676,China,Rocket Body,1990,22964.4,GEO,Active
2677,India,Payload,2009,3134.02,MEO,Active
2678,Italy,Debris,2005,10565.63,MEO,Inactive
2679,Japan,Debris,2006,33110.95,GEO,Inactive
2680,Russia,Payload,2011,2990.38,MEO,Active
2681,South Korea,Debris,1975,31441.71,GEO,Active
2682,Italy,Debris,2005,1167.52,LEO,Active
2683,Australia,Debris,1975,6040.34,MEO,Active
2684,Russia,Payload,1989,15715.1,MEO,Active
2685,Brazil,Payload,1973,14553.54,MEO,Inactive
2686,Canada,Debris,1970,12309.29,MEO,Active
2687,China,Debris,1987,28010.14,GEO,Inactive
2688,India,Debris,2020,9621.5,MEO,Active
2689,UAE,Payload,1987,14479.58,MEO,Active
2690,Brazil,Payload,1967,31576.82,GEO,Inactive
2691,South Korea,Payload,2004,9593.59,MEO,Inactive
2692,India,Payload,2024,1552.74,LEO,Active
2693,UAE,Payload,2023,28685.48,GEO,Active
2694,Brazil,Payload,1970,10302.48,MEO,Active
2695,Germany,Rocket Body,1966,9784.55,MEO,Active
2696,Canada,Debris,1969,22402.45,GEO,Active
2697,Germany,Payload,2008,14351.67,MEO,Active
2698,Brazil,Payload,2007,17599.06,MEO,Active
2699,Russia,Debris,2017,18840.25,MEO,Inactive
2700,Canada,Payload,1985,26991.04,GEO,Inactive
2701,UAE,Debris,1974,12500.7,MEO,Active
2702,Israel,Payload,2014,11310.72,MEO,Inactive
2703,South Korea,Payload,1996,33054.42,GEO,Active
2704,France,Debris,1993,5908.31,MEO,Active
2705,Israel,Debris,2000,13598.25,MEO,Active
2706,United States,Debris,1992,24608.0,GEO,Inactive
2707,Russia,Rocket Body,1977,20380.34,GEO,Active
2708,UAE,Rocket Body,1961,26391.53,GEO,Active
2709,Japan,Payload,1988,35224.99,GEO,Active
2710,United States,Payload,1963,18904.45,MEO,Active
2711,Russia,Payload,1984,33790.74,GEO,Active
2712,Japan,Debris,1999,3909.23,MEO,Active
2713,Brazil,Debris,1961,15273.22,MEO,Active
2714,France,Debris,1972,15646.51,MEO,Inactive
2715,China,Debris,2016,35904.97,GEO,Inactive
2716,South Korea,Payload,1979,26276.05,GEO,Active
2717,China,Payload,1993,24694.71,GEO,Inactive
2718,United Kingdom,Debris,1981,28841.23,GEO,Active
2719,Russia,Debris,2005,29964.79,GEO,Inactive
2720,United States,Rocket Body,1997,3543.54,MEO,Inactive
2721,Israel,Payload,1996,13963.29,MEO,Inactive
2722,China,Debris,1967,4555.56,MEO,Active
2723,France,Payload,1973,33009.48,GEO,Active
2724,UAE,Rocket Body,1982,23977.03,GEO,Inactive
2725,United States,Debris,2000,25330.52,GEO,Active
2726,Russia,Debris,1988,17906.89,MEO,Active
2727,UAE,Payload,2012,456.53,LEO,Active
2728,Germany,Debris,2005,27028.15,GEO,Active
2729,Germany,Rocket Body,1978,33332.23,GEO,Inactive
2730,Germany,Rocket Body,2006,27560.16,GEO,Inactive
2731,Russia,Payload,1975,9478.87,MEO,Active
2732,Russia,Payload,1971,31755.38,GEO,Inactive
2733,Germany,Payload,1985,1660.11,LEO,Active
2734,UAE,Payload,2019,21656.51,GEO,Active
2735,Italy,Rocket Body,1999,17934.48,MEO,Active
2736,China,Payload,1968,26793.54,GEO,Inactive
2737,Germany,Payload,1962,3261.39,MEO,Active
2738,UAE,Payload,1960,6569.68,MEO,Active
2739,Russia,Debris,1974,7998.13,MEO,Active
2740,United Kingdom,Payload,2015,17162.44,MEO,Active
2741,Canada,Payload,2006,14083.98,MEO,Inactive
2742,India,Debris,2014,15599.88,MEO,Inactive
2743,Russia,Rocket Body,1978,7570.92,MEO,Inactive
2744,India,Debris,1989,6361.08,MEO,Inactive
2745,United Kingdom,Debris,1978,19559.29,MEO,Active
2746,United Kingdom,Payload,1997,24964.3,GEO,Active
2747,Germany,Rocket Body,1985,5430.16,MEO,Active
2748,India,Debris,1960,9531.13,MEO,Inactive
2749,Brazil,Payload,1980,33176.29,GEO,Inactive
2750,Israel,Rocket Body,1999,29881.77,GEO,Inactive
2751,South Korea,Payload,1976,15575.87,MEO,Inactive
2752,Canada,Payload,1960,847.32,LEO,Inactive
2753,Japan,Payload,2000,21948.99,GEO,Active
2754,India,Payload,1981,9298.85,MEO,Active
2755,Russia,Rocket Body,1978,19546.36,MEO,Active
2756,United States,Payload,2006,19485.65,MEO,Inactive
2757,Brazil,Debris,2015,15096.82,MEO,Active
2758,United States,Debris,2009,21755.46,GEO,Inactive
2759,Russia,Debris,1990,34212.57,GEO,Active
2760,Germany,Debris,1994,32575.49,GEO,Inactive
2761,United States,Debris,1992,17807.68,MEO,Inactive
2762,Japan,Payload,2010,21221.59,GEO,Active
2763,Israel,Payload,1965,35506.94,GEO,Inactive
2764,United States,Payload,1991,7434.72,MEO,Active
2765,Israel,Rocket Body,1971,3807.53,MEO,Active
2766,Brazil,Payload,1997,16449.88,MEO,Active
2767,India,Payload,2018,15213.54,MEO,Inactive
2768,South Korea,Debris,2022,23494.75,GEO,Inactive
2769,South Korea,Payload,2000,9035.43,MEO,Inactive
2770,Russia,Payload,2015,35428.04,GEO,Inactive
2771,United Kingdom,Payload,1968,5839.41,MEO,Active
2772,Italy,Payload,1996,9035.4,MEO,Active
2773,Italy,Payload,2018,16172.69,MEO,Active
2774,Australia,Payload,2024,10459.32,MEO,Inactive
2775,Australia,Payload,1996,5318.85,MEO,Inactive
2776,South Korea,Debris,1998,19804.29,MEO,Active
2777,South Korea,Debris,1999,11161.93,MEO,Active
2778,Germany,Payload,1996,24649.9,GEO,Inactive
2779,Australia,Payload,2022,22035.67,GEO,Inactive
2780,Russia,Debris,1985,16325.7,MEO,Active
2781,China,Payload,1984,13928.87,MEO,Active
2782,UAE,Payload,1971,15555.59,MEO,Active
2783,Israel,Debris,2016,13562.75,MEO,Inactive
2784,UAE,Payload,2006,13836.43,MEO,Active
2785,Canada,Payload,1984,30213.81,GEO,Inactive
2786,Russia,Payload,1968,16146.87,MEO,Inactive
2787,Russia,Payload,2000,8084.9,MEO,Inactive
2788,India,Payload,2002,24410.36,GEO,Inactive
2789,Italy,Rocket Body,1995,19311.95,MEO,Active
2790,Canada,Payload,2006,9664.44,MEO,Active
2791,United States,Payload,1981,4291.86,MEO,Inactive
2792,United States,Payload,2014,28996.14,GEO,Active
2793,Israel,Debris,1980,1745.51,LEO,Active
2794,Canada,Debris,1990,24312.4,GEO,Active
2795,India,Debris,1982,8444.66,MEO,Inactive
2796,Canada,Rocket Body,1967,1497.55,LEO,Inactive
2797,Japan,Debris,1971,25284.03,GEO,Active
2798,UAE,Debris,1994,21059.91,GEO,Active
2799,Italy,Debris,2017,3013.28,MEO,Inactive
2800,United Kingdom,Payload,2001,16403.87,MEO,Inactive
2801,South Korea,Payload,2006,23409.7,GEO,Inactive
2802,Russia,Payload,2021,35262.48,GEO,Active
2803,United Kingdom,Payload,2013,18827.65,MEO,Active
2804,China,Debris,1968,29750.25,GEO,Active
2805,China,Debris,1967,29921.27,GEO,Active
2806,Germany,Payload,1968,26756.66,GEO,Active
2807,Australia,Payload,2011,1549.44,LEO,Active
2808,Israel,Payload,1981,27447.26,GEO,Active
2809,Japan,Debris,1997,35216.18,GEO,Inactive
2810,Germany,Debris,2008,31391.7,GEO,Active
2811,Israel,Debris,2008,35428.48,GEO,Active
2812,China,Debris,1978,18524.65,MEO,Active
2813,UAE,Payload,1993,6542.25,MEO,Inactive
2814,Japan,Payload,1979,29435.79,GEO,Inactive
2815,China,Payload,1996,13455.62,MEO,Active
2816,Italy,Debris,2006,10671.71,MEO,Active
2817,Australia,Payload,1978,35186.4,GEO,Inactive
2818,Australia,Payload,1961,8482.16,MEO,Active
2819,Italy,Rocket Body,1977,28826.92,GEO,Active
2820,Japan,Rocket Body,2022,12560.38,MEO,Active
2821,Israel,Debris,1961,3054.02,MEO,Active
2822,United Kingdom,Debris,1961,27767.56,GEO,Active
2823,Australia,Payload,2021,12245.2,MEO,Inactive
2824,France,Rocket Body,1999,2037.41,MEO,Inactive
2825,Japan,Payload,1971,25405.74,GEO,Inactive
2826,Canada,Payload,1988,30290.81,GEO,Active
2827,Japan,Payload,2005,7633.22,MEO,Active
2828,France,Debris,2007,11861.27,MEO,Inactive
2829,Italy,Rocket Body,2004,30698.46,GEO,Active
2830,South Korea,Payload,1985,34269.52,GEO,Active
2831,Canada,Payload,2004,13730.05,MEO,Active
2832,United States,Debris,2019,17718.98,MEO,Active
2833,France,Rocket Body,2002,13596.1,MEO,Active
2834,France,Payload,1962,32858.14,GEO,Inactive
2835,United Kingdom,Rocket Body,1990,12368.77,MEO,Inactive
2836,United Kingdom,Debris,2017,34658.88,GEO,Active
2837,China,Payload,1994,13041.49,MEO,Active
2838,Italy,Payload,1986,4332.61,MEO,Active
2839,Japan,Payload,1975,14251.73,MEO,Inactive
2840,South Korea,Debris,2007,33216.13,GEO,Active
2841,Russia,Payload,1969,16511.16,MEO,Active
2842,Japan,Payload,1985,23894.91,GEO,Active
2843,United States,Payload,1991,34107.03,GEO,Active
2844,Russia,Debris,1994,10759.95,MEO,Inactive
2845,Canada,Payload,1994,28100.34,GEO,Inactive
2846,Japan,Payload,1967,33619.52,GEO,Inactive
2847,India,Debris,1980,1366.21,LEO,Active
2848,UAE,Debris,2004,14123.98,MEO,Active
2849,South Korea,Payload,1974,24833.83,GEO,Active
2850,United States,Debris,2000,32710.32,GEO,Inactive
2851,United Kingdom,Payload,1995,30654.31,GEO,Active
2852,United States,Debris,2014,4404.71,MEO,Inactive
2853,Germany,Debris,2008,33208.85,GEO,Active
2854,UAE,Payload,2009,24093.22,GEO,Active
2855,United Kingdom,Payload,2009,13941.01,MEO,Active
2856,United States,Payload,1978,7934.75,MEO,Inactive
2857,Italy,Debris,2024,25353.08,GEO,Inactive
2858,Italy,Payload,1981,26487.64,GEO,Inactive
2859,China,Payload,1984,31857.64,GEO,Active
2860,Japan,Payload,1985,3459.31,MEO,Inactive
2861,Israel,Debris,1983,2398.98,MEO,Active
2862,United Kingdom,Debris,2004,3656.81,MEO,Inactive
2863,Canada,Payload,1989,17706.48,MEO,Active
2864,China,Debris,2016,17159.78,MEO,Inactive
2865,China,Payload,1978,18884.54,MEO,Inactive
2866,Germany,Debris,2005,16002.89,MEO,Inactive
2867,Germany,Rocket Body,1980,9996.57,MEO,Active
2868,China,Debris,1985,26629.91,GEO,Active
2869,France,Payload,2024,10285.88,MEO,Active
2870,Australia,Payload,1970,22384.42,GEO,Active
2871,Italy,Debris,2016,7314.65,MEO,Inactive
2872,Canada,Debris,1992,27437.43,GEO,Inactive
2873,India,Payload,1981,23356.07,GEO,Inactive
2874,Canada,Payload,2022,28117.98,GEO,Active
2875,Canada,Payload,1998,28274.16,GEO,Active
2876,United States,Payload,1997,20451.26,GEO,Active
2877,China,Debris,1963,25387.48,GEO,Active
2878,Japan,Debris,2013,17508.1,MEO,Active
2879,UAE,Debris,2002,21606.02,GEO,Inactive
2880,China,Payload,1961,28503.86,GEO,Active
2881,Brazil,Payload,1966,33128.39,GEO,Active
2882,China,Payload,1991,10615.89,MEO,Inactive
2883,India,Payload,2015,21291.24,GEO,Active
2884,South Korea,Payload,1993,32134.28,GEO,Inactive
2885,Australia,Payload,1973,18026.7,MEO,Active
2886,Japan,Payload,1971,11059.99,MEO,Inactive
2887,United States,Debris,2003,8789.18,MEO,Active
2888,United Kingdom,Debris,2002,29843.94,GEO,Active
2889,France,Debris,1998,35761.06,GEO,Active
2890,Japan,Payload,1996,9099.56,MEO,Inactive
2891,United Kingdom,Debris,1989,3594.37,MEO,Active
2892,Israel,Payload,1962,30530.57,GEO,Inactive
2893,France,Debris,2011,34708.91,GEO,Active
2894,Italy,Debris,2003,21702.84,GEO,Active
2895,China,Debris,1965,7592.07,MEO,Inactive
2896,Germany,Rocket Body,1978,32737.67,GEO,Inactive
2897,China,Payload,1975,13701.98,MEO,Active
2898,United States,Payload,2000,6629.29,MEO,Inactive
2899,Brazil,Debris,2013,34083.26,GEO,Active
2900,Germany,Payload,1960,24447.98,GEO,Inactive
2901,Australia,Payload,2024,21695.18,GEO,Inactive
2902,Canada,Debris,1966,3873.89,MEO,Active
2903,Canada,Rocket Body,1991,13280.29,MEO,Active
2904,Brazil,Debris,1984,24494.23,GEO,Active
2905,Japan,Payload,1994,6252.42,MEO,Inactive
2906,Australia,Payload,2014,27201.69,GEO,Inactive
2907,South Korea,Payload,1996,9717.78,MEO,Inactive
2908,United States,Debris,1974,10633.19,MEO,Inactive
2909,Brazil,Payload,2025,1534.76,LEO,Active
2910,Japan,Rocket Body,1988,28230.05,GEO,Active
2911,Germany,Payload,2001,6556.98,MEO,Active
2912,Germany,Payload,2002,8016.69,MEO,Active
2913,Germany,Payload,1981,13997.55,MEO,Active
2914,Israel,Payload,1965,10350.66,MEO,Active
2915,United States,Payload,1969,4770.66,MEO,Active
2916,Canada,Payload,1960,17424.33,MEO,Inactive
2917,Israel,Payload,2025,17446.89,MEO,Active
2918,India,Debris,1961,8290.1,MEO,Active
2919,China,Payload,1963,25547.52,GEO,Inactive
2920,United States,Rocket Body,1962,17272.78,MEO,Active
2921,Canada,Rocket Body,1979,29645.04,GEO,Active
2922,India,Debris,2005,6038.28,MEO,Active
2923,Israel,Payload,2014,32109.35,GEO,Active
2924,Israel,Debris,2016,4910.28,MEO,Active
2925,Japan,Debris,2011,24750.92,GEO,Active
2926,France,Debris,1979,25258.11,GEO,Inactive
2927,South Korea,Debris,1987,18381.36,MEO,Active
2928,Russia,Rocket Body,1967,23509.83,GEO,Inactive
2929,Italy,Payload,1983,28120.01,GEO,Active
2930,Japan,Payload,1971,19039.52,MEO,Inactive
2931,India,Payload,2010,1729.89,LEO,Inactive
2932,UAE,Payload,1999,8144.25,MEO,Active
2933,Israel,Payload,2016,360.78,LEO,Inactive
2934,Israel,Rocket Body,2008,9167.35,MEO,Inactive
2935,Italy,Payload,2012,26261.01,GEO,Active
2936,Canada,Payload,2005,15796.74,MEO,Active
2937,Japan,Debris,1995,3401.31,MEO,Active
2938,France,Payload,1977,11850.74,MEO,Inactive
2939,South Korea,Payload,1999,29219.35,GEO,Active
2940,United Kingdom,Payload,1978,2839.13,MEO,Inactive
2941,China,Rocket Body,1985,21874.63,GEO,Inactive
2942,China,Payload,1979,477.39,LEO,Active
2943,China,Payload,2022,26759.62,GEO,Inactive
2944,Germany,Debris,1995,31333.7,GEO,Active
2945,UAE,Debris,1980,25198.61,GEO,Active
2946,Australia,Payload,2007,3309.34,MEO,Active
2947,Australia,Payload,1988,27687.51,GEO,Inactive
2948,Australia,Payload,1985,22577.17,GEO,Inactive
2949,UAE,Debris,2003,23907.13,GEO,Inactive
2950,Canada,Payload,2025,11951.52,MEO,Inactive
2951,United Kingdom,Payload,2008,28349.31,GEO,Active
2952,South Korea,Payload,2014,5562.98,MEO,Inactive
2953,France,Rocket Body,1993,6155.44,MEO,Inactive
2954,Germany,Payload,1983,34642.87,GEO,Active
2955,China,Payload,1980,400.02,LEO,Active
2956,India,Debris,1970,21540.68,GEO,Active
2957,Israel,Payload,2022,16153.3,MEO,Active
2958,United States,Payload,1960,31189.52,GEO,Active
2959,Japan,Payload,1964,6401.35,MEO,Active
2960,China,Debris,1992,3846.22,MEO,Active
2961,Israel,Payload,1986,31455.52,GEO,Active
2962,Italy,Debris,1977,28564.08,GEO,Active
2963,Australia,Debris,2022,3102.24,MEO,Inactive
2964,Brazil,Debris,1971,15807.31,MEO,Active
2965,Canada,Rocket Body,1989,18045.37,MEO,Active
2966,Canada,Payload,1963,15087.96,MEO,Inactive
2967,Italy,Debris,1976,27448.14,GEO,Inactive
2968,Germany,Debris,1989,18501.88,MEO,Active
2969,United Kingdom,Debris,2009,25438.5,GEO,Inactive
2970,Italy,Rocket Body,1970,14327.24,MEO,Active
2971,United Kingdom,Rocket Body,2004,26018.06,GEO,Active
2972,Australia,Payload,2004,29294.47,GEO,Active
2973,India,Debris,2010,31581.34,GEO,Active
2974,Italy,Debris,2018,34120.34,GEO,Active
2975,UAE,Payload,1977,1202.79,LEO,Active
2976,United States,Rocket Body,2009,22962.65,GEO,Inactive
2977,Australia,Payload,1973,11604.54,MEO,Active
2978,United States,Payload,1994,29805.34,GEO,Active
2979,Australia,Payload,1960,6607.05,MEO,Active
2980,India,Payload,1964,31185.92,GEO,Active
2981,South Korea,Payload,1977,21850.38,GEO,Active
2982,UAE,Rocket Body,1962,4059.69,MEO,Active
2983,United Kingdom,Debris,2006,25419.86,GEO,Active
2984,India,Payload,1962,23717.23,GEO,Active
2985,France,Payload,1983,5409.26,MEO,Inactive
2986,United Kingdom,Payload,2016,7026.98,MEO,Active
2987,India,Payload,1973,31793.34,GEO,Active
2988,United Kingdom,Debris,1981,19730.89,MEO,Inactive
2989,Brazil,Debris,1975,6702.74,MEO,Inactive
2990,Japan,Debris,1966,8999.73,MEO,Active
2991,South Korea,Debris,2022,24280.17,GEO,Inactive
2992,Brazil,Payload,1989,19816.26,MEO,Inactive
2993,Italy,Payload,1967,18458.34,MEO,Active
2994,France,Debris,2010,32107.47,GEO,Inactive
2995,Australia,Debris,2004,30874.62,GEO,Inactive
2996,China,Payload,1988,27660.14,GEO,Active
2997,United States,Debris,2024,6792.88,MEO,Active
2998,South Korea,Debris,1975,4706.08,MEO,Active
2999,Australia,Debris,1994,5427.3,MEO,Active
3000,Brazil,Payload,1972,21482.24,GEO,Active
3001,Brazil,Payload,2007,28229.73,GEO,Active
3002,United Kingdom,Debris,1978,3206.84,MEO,Active
3003,China,Payload,2013,15478.57,MEO,Active
3004,South Korea,Debris,2008,22495.58,GEO,Active
3005,United States,Payload,1965,19297.91,MEO,Active
3006,Australia,Debris,2014,16923.66,MEO,Active
3007,United Kingdom,Payload,2019,4280.34,MEO,Active
3008,Brazil,Payload,2011,20267.46,GEO,Inactive
3009,UAE,Payload,1973,35419.59,GEO,Active
3010,Israel,Payload,2009,7502.9,MEO,Inactive
3011,Italy,Rocket Body,2014,24316.02,GEO,Active
3012,South Korea,Payload,1973,16614.22,MEO,Inactive
3013,United Kingdom,Payload,1962,27646.94,GEO,Inactive
3014,France,Payload,1963,19867.69,MEO,Active
3015,Germany,Debris,1989,7990.61,MEO,Inactive
3016,Germany,Payload,2013,3789.15,MEO,Inactive
3017,China,Payload,2019,7391.85,MEO,Active
3018,Russia,Debris,1976,544.43,LEO,Active
3019,South Korea,Rocket Body,1974,35751.09,GEO,Inactive
3020,India,Debris,2005,33999.74,GEO,Active
3021,Israel,Debris,1982,1930.96,LEO,Inactive
3022,India,Debris,2013,8242.22,MEO,Active
3023,Brazil,Debris,2000,19048.52,MEO,Inactive
3024,Brazil,Debris,2023,1979.76,LEO,Active
3025,South Korea,Payload,2004,9799.08,MEO,Active
3026,China,Rocket Body,1971,35244.65,GEO,Inactive
3027,China,Debris,1994,23989.4,GEO,Active
3028,United States,Debris,1970,6581.93,MEO,Inactive
3029,South Korea,Payload,2000,30728.61,GEO,Active
3030,India,Debris,1994,20107.29,GEO,Active
3031,South Korea,Payload,1965,15449.81,MEO,Inactive
3032,Canada,Payload,2015,6436.42,MEO,Active
3033,United Kingdom,Payload,2025,8699.13,MEO,Inactive
3034,South Korea,Debris,1977,16528.79,MEO,Active
3035,Italy,Debris,2018,26661.34,GEO,Inactive
3036,United States,Debris,1995,25258.2,GEO,Active
3037,Russia,Debris,2023,6256.06,MEO,Active
3038,UAE,Rocket Body,1980,23578.2,GEO,Inactive
3039,Australia,Debris,1960,10937.19,MEO,Inactive
3040,United States,Debris,1999,5749.78,MEO,Inactive
3041,Japan,Payload,2022,28885.33,GEO,Active
3042,India,Payload,2014,33207.34,GEO,Inactive
3043,India,Payload,1997,31545.83,GEO,Active
3044,Russia,Payload,1968,34277.17,GEO,Inactive
3045,UAE,Debris,2003,6676.01,MEO,Active
3046,United Kingdom,Payload,1997,931.8,LEO,Active
3047,Israel,Payload,2016,13789.45,MEO,Active
3048,Russia,Debris,2019,30427.99,GEO,Active
3049,United Kingdom,Payload,1980,5054.36,MEO,Inactive
3050,China,Debris,1981,17895.68,MEO,Inactive
3051,Italy,Payload,1981,2842.03,MEO,Inactive
3052,Russia,Payload,1980,30532.28,GEO,Active
3053,United Kingdom,Payload,2007,19896.14,MEO,Inactive
3054,Canada,Debris,2017,795.63,LEO,Active
3055,United Kingdom,Payload,2001,23322.49,GEO,Active
3056,United Kingdom,Debris,1977,19438.18,MEO,Inactive
3057,Canada,Debris,1996,1739.34,LEO,Inactive
3058,Russia,Payload,1961,29473.99,GEO,Active
3059,UAE,Debris,1965,30621.07,GEO,Inactive
3060,Canada,Debris,1962,35930.65,GEO,Active
3061,Russia,Payload,1990,31667.14,GEO,Inactive
3062,Russia,Debris,2020,2150.79,MEO,Inactive
3063,Japan,Debris,1990,17880.07,MEO,Inactive
3064,United Kingdom,Debris,1970,12334.92,MEO,Inactive
3065,Russia,Debris,2001,1583.19,LEO,Active
3066,China,Debris,1965,17739.17,MEO,Inactive
