object_type,country,altitude_km,launch_year_estimate,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
SATELLITE,USA,34467.73,1974,80.853,102.169,753.859,317.016,396.52,858.193,785.994,238.911,339.069,607.54,457.644,239.438,187.589,416.229,671.108,812.186,890.512,932.059,507.512,392.136,412.164,441.086,247.959,928.4,941.825,229.857,345.433,840.405,354.017,712.399,162.627,398.532,391.913,755.984,150.834,550.388,285.198,249.209,159.416,284.576,836.595,382.492,591.443,260.209,780.853,88.242
FRAGMENT,China,10021.59,1966,760.456,968.45,950.775,331.374,871.577,924.877,543.029,890.886,60.913,392.209,167.671,189.758,839.534,688.099,685.393,73.467,203.84,47.05,806.186,806.885,971.094,584.071,605.917,843.659,551.273,57.3,264.64,958.544,470.067,981.269,881.297,782.05,894.898,770.752,230.052,942.928,231.027,369.185,989.178,568.697,3.707,772.785,143.256,300.596,992.829,543.462
SATELLITE,ESA,33701.75,1974,59.85,464.367,428.328,441.755,518.68,702.152,305.473,24.628,781.44,341.504,417.953,695.284,942.312,13.872,46.948,324.28,207.805,828.638,875.364,8.975,7.174,391.039,978.666,582.483,388.583,870.439,916.534,690.435,91.107,103.297,192.812,65.975,624.777,664.928,745.904,802.101,919.142,44.989,824.861,474.564,211.037,634.351,423.327,55.191,715.377,719.751
FRAGMENT,Russia,23067.46,1996,220.036,109.746,892.096,187.019,930.592,408.468,129.527,816.665,783.436,593.784,592.732,335.766,79.748,753.005,711.111,151.86,814.489,413.131,120.534,80.923,381.666,154.302,903.731,241.621,623.684,719.549,667.88,911.177,429.063,248.049,387.441,872.383,569.179,147.8,829.834,668.713,449.472,74.024,563.756,281.249,454.769,983.467,161.246,358.242,62.578,202.326
DEBRIS,China,22383.86,1958,213.241,138.964,983.264,869.597,536.334,695.722,832.173,426.9,676.41,870.44,90.429,342.453,758.787,957.678,242.845,53.779,457.861,319.407,771.328,539.533,724.097,643.824,848.998,565.311,101.912,58.073,350.095,441.665,389.968,675.912,9.577,517.642,660.745,855.595,408.925,993.05,547.058,984.395,224.087,540.259,387.358,970.3,482.709,328.22,735.037,593.894
PAYLOAD,USA,23516.82,2023,530.908,84.752,892.221,838.601,501.769,783.878,190.485,258.501,240.263,150.155,754.226,654.722,531.598,484.347,162.629,820.0,486.342,409.373,397.014,352.988,876.458,882.838,862.203,45.091,232.769,714.676,431.05,271.598,606.263,479.016,547.748,672.097,20.843,282.084,819.459,211.476,348.26,767.611,421.827,367.516,76.017,114.337,310.437,330.119,533.383,228.2
ROCKET BODY,China,1230.48,2011,15.644,674.657,444.504,721.877,709.852,919.09,227.47,753.726,471.578,616.829,310.398,420.205,291.227,879.392,821.452,968.98,651.658,488.548,541.163,751.878,12.864,488.935,354.718,698.595,271.939,816.402,813.02,260.429,651.654,75.6,804.049,439.468,304.741,220.446,302.651,373.602,286.076,813.373,196.412,791.867,159.584,171.183,673.838,959.284,629.123,406.129
DEBRIS,Russia,6040.24,2013,227.942,604.519,875.707,651.316,348.52,722.201,825.513,653.247,978.451,264.047,361.589,22.013,829.132,528.427,596.96,230.561,476.18,665.005,926.083,922.081,742.034,67.962,753.754,187.68,989.897,639.248,405.925,106.8,786.616,372.285,356.228,284.308,400.983,404.686,802.685,183.287,167.125,278.838,513.219,728.713,295.629,136.383,47.84,816.805,751.485,888.62
SATELLITE,Other,12217.89,2008,142.256,746.346,338.304,143.706,814.538,130.341,859.443,394.801,256.257,76.444,511.822,849.912,516.429,987.806,2.42,977.436,613.253,775.824,530.555,366.165,750.223,953.693,871.281,892.774,541.834,410.902,641.719,638.003,867.169,969.22,114.383,92.429,27.459,49.422,145.042,925.95,233.829,560.025,906.985,484.559,941.697,305.626,757.62,266.379,416.768,689.057
ROCKET BODY,Japan,21159.1,2024,377.765,753.385,434.18,616.863,970.422,606.192,171.398,69.467,268.648,297.172,715.352,844.806,607.156,229.475,296.493,340.755,370.332,721.266,890.734,957.373,236.77,99.555,463.594,500.773,873.32,214.574,632.716,845.393,993.662,949.592,778.997,565.045,224.801,454.611,315.14,607.64,248.184,375.543,971.353,810.159,864.306,748.951,442.197,546.962,306.336,776.027
ROCKET BODY,USA,14080.56,1988,569.503,143.47,216.341,148.755,351.476,427.766,890.492,520.758,193.333,497.13,310.69,346.928,39.821,557.368,410.171,194.781,16.793,563.135,653.548,158.822,268.788,530.277,603.212,596.136,194.43,570.336,58.279,632.982,1.532,898.59,189.136,289.523,342.606,40.185,113.789,469.44,807.622,103.88,819.516,782.265,963.041,773.42,873.633,192.589,566.214,334.419
DEBRIS,Japan,20854.94,1970,334.494,164.757,225.907,402.154,757.515,36.587,558.681,986.058,589.115,705.95,108.663,363.607,204.57,392.753,216.153,335.638,455.228,859.518,824.325,798.285,79.038,175.19,359.645,993.556,574.112,44.623,292.304,181.787,366.44,554.962,100.005,533.075,206.79,645.642,480.499,909.383,700.166,920.543,807.931,91.959,152.225,377.833,512.491,297.836,928.131,479.225
SATELLITE,Other,887.31,1965,188.074,315.345,308.836,475.424,799.285,471.356,341.601,462.353,711.258,690.538,596.759,475.455,223.15,406.98,499.521,11.101,631.089,153.252,640.837,44.695,137.631,56.424,34.582,567.277,837.111,763.205,864.294,248.64,920.941,254.225,71.261,362.905,966.112,224.503,725.503,870.283,190.825,836.618,306.087,819.904,814.82,52.308,836.77,919.687,635.094,688.486
PAYLOAD,Other,17948.2,2020,149.529,497.757,731.97,421.174,914.929,588.886,146.708,295.7,356.532,766.374,906.732,56.948,929.233,75.682,781.569,661.798,124.924,821.202,107.224,313.953,922.84,656.336,692.807,858.088,925.126,984.602,714.962,156.419,129.855,860.627,781.274,40.409,103.449,83.223,656.548,72.807,459.069,949.691,406.714,488.503,236.025,875.425,253.429,752.205,873.853,683.007
SATELLITE,India,2241.19,1978,619.139,329.648,184.219,392.652,453.664,248.172,894.916,109.872,520.609,913.057,332.34,192.859,569.302,623.016,295.737,433.957,632.675,842.846,750.679,323.745,870.499,247.549,925.658,453.088,696.238,640.734,215.692,704.962,96.183,433.305,470.135,354.407,104.757,57.289,801.691,883.457,221.564,285.524,203.121,327.981,364.351,657.7,849.141,805.67,82.565,860.403
ROCKET BODY,Japan,10462.82,2005,4.689,25.098,703.101,968.579,854.708,97.424,622.009,211.367,141.316,691.82,444.556,180.903,83.022,297.546,945.665,683.881,817.637,606.316,767.309,533.695,60.394,174.632,662.153,315.259,844.774,192.768,242.217,391.2,550.918,590.419,67.123,671.74,950.387,498.682,471.596,616.024,797.98,537.763,345.063,26.37,380.539,400.534,454.573,669.039,171.108,386.719
SATELLITE,Other,30661.95,1965,184.4,340.793,3.503,265.51,56.976,274.421,540.581,487.419,886.681,880.805,259.286,272.364,206.431,832.069,330.107,398.691,467.543,973.914,584.587,29.518,613.803,659.793,26.313,496.922,316.598,385.588,723.244,131.087,873.475,721.777,159.152,551.829,475.948,748.051,490.779,403.999,579.737,582.254,15.242,127.149,653.982,434.731,58.194,345.987,957.299,72.756
FRAGMENT,ESA,26409.91,2013,81.076,306.192,122.608,388.154,976.316,919.749,132.537,912.64,9.132,645.944,508.407,563.81,841.762,255.569,107.889,918.936,266.678,711.446,921.243,934.076,775.972,119.769,235.588,334.286,390.204,422.638,315.309,388.55,538.475,99.321,704.567,407.892,233.872,863.952,546.033,919.767,239.941,906.787,55.051,523.212,557.89,626.943,958.7,658.051,62.724,637.387
FRAGMENT,Russia,3126.27,2000,253.981,504.923,155.394,984.256,651.955,536.704,191.213,390.385,575.821,518.38,461.479,877.313,271.928,155.793,378.211,123.653,926.48,366.1,722.36,78.42,45.039,854.135,516.685,414.623,275.395,102.83,958.511,730.018,32.534,876.947,875.942,105.661,642.66,788.407,446.083,457.21,685.125,375.003,325.215,364.908,178.738,911.0,423.157,354.104,706.38,392.896
SATELLITE,India,31892.98,1984,359.992,948.335,71.729,639.425,130.739,388.863,1.181,239.233,910.794,782.667,354.081,764.799,596.603,260.587,868.508,324.108,736.191,582.792,434.938,525.272,458.895,843.619,624.837,246.537,840.119,240.133,965.134,365.47,956.537,588.091,296.324,310.122,247.689,394.454,904.516,554.953,731.847,376.374,197.332,964.894,510.092,759.506,271.42,271.004,486.156,534.846
DEBRIS,ESA,20670.91,2001,828.59,923.844,667.639,321.458,795.358,435.122,588.17,138.774,300.527,151.264,180.716,741.943,99.847,227.463,778.628,211.372,505.28,982.736,71.016,408.365,183.509,597.082,908.923,229.896,793.965,868.13,709.469,254.253,577.77,417.808,290.361,704.498,780.276,755.979,905.055,427.646,544.392,677.599,595.216,118.636,579.025,619.624,21.797,906.114,340.573,206.885
DEBRIS,USA,29466.22,2025,726.825,524.688,185.771,870.384,963.645,973.742,225.305,36.192,470.836,206.12,878.493,936.581,846.212,888.802,552.077,797.779,965.473,266.604,960.363,9.798,309.064,621.592,116.362,621.34,447.814,657.334,839.252,818.726,675.295,799.921,62.635,279.318,384.168,608.94,206.356,825.971,570.013,382.979,93.333,311.532,29.675,721.436,178.679,20.716,5.037,823.246
FRAGMENT,USA,29123.36,1971,620.6,776.038,194.875,883.653,386.853,330.981,603.451,609.298,727.91,812.498,349.294,166.647,525.583,936.051,336.653,812.948,74.111,245.295,58.743,783.067,725.113,557.059,585.838,791.11,901.222,177.27,313.92,632.42,970.667,141.243,213.861,73.268,823.845,689.102,197.566,264.733,259.945,555.288,515.786,26.986,18.718,16.098,500.932,567.086,612.908,827.936
FRAGMENT,Other,35794.26,1964,55.473,191.773,948.551,662.501,456.798,815.934,1.728,936.255,986.621,644.565,118.08,258.673,529.536,458.717,451.403,921.117,895.6,896.942,598.267,639.244,918.917,936.187,254.788,850.69,853.939,232.99,458.409,97.842,306.446,548.779,799.294,860.06,192.563,583.177,689.247,80.725,916.483,748.337,436.616,296.67,276.054,981.04,456.146,260.424,762.686,327.998
PAYLOAD,China,1251.54,1970,552.506,107.714,430.443,984.586,847.031,74.269,368.681,520.267,537.789,911.123,910.524,308.099,786.518,422.924,51.356,215.784,530.913,127.75,81.318,731.063,199.569,386.482,3.575,405.687,206.017,788.116,721.245,105.917,727.53,79.377,288.999,516.266,632.563,919.774,167.763,351.838,640.892,636.928,437.704,562.595,943.677,815.953,229.515,660.237,206.793,474.902
PAYLOAD,USA,3176.83,2003,974.609,443.01,707.207,629.124,834.537,807.614,96.249,876.711,355.949,432.072,86.176,195.989,630.268,855.683,185.541,452.671,480.29,131.919,15.277,882.643,767.526,64.661,19.767,784.637,514.63,697.991,630.98,228.074,391.563,733.412,81.825,200.433,578.451,56.917,350.532,384.475,983.32,707.354,716.567,589.236,286.898,863.048,49.92,510.754,179.214,775.78
SATELLITE,USA,1687.76,1990,298.78,374.667,438.851,49.955,283.551,746.217,561.97,354.712,956.505,383.902,765.875,375.71,619.443,399.176,731.668,277.063,668.837,646.51,849.956,65.676,443.609,505.13,429.363,565.145,8.342,497.865,280.35,766.485,764.112,54.963,490.897,699.239,743.867,922.795,204.602,444.969,542.069,268.131,453.623,278.175,909.585,827.373,912.819,260.48,546.648,717.436
ROCKET BODY,Japan,28986.92,2013,892.98,674.442,139.908,80.229,111.868,465.661,15.365,42.861,938.915,270.291,579.214,271.368,86.914,15.767,20.797,985.517,828.041,894.793,420.147,316.544,421.959,566.611,295.107,579.587,672.12,380.258,455.626,582.993,492.108,967.687,665.558,467.06,91.923,499.686,498.483,131.14,957.942,645.36,315.623,351.841,924.57,813.797,583.063,288.096,689.731,297.196
SATELLITE,ESA,18822.82,2001,519.215,504.782,427.034,174.56,88.093,940.941,885.079,269.125,919.372,864.783,357.617,942.278,273.899,818.215,695.934,924.777,72.133,732.564,901.013,933.051,7.259,733.355,224.845,950.21,401.105,284.721,706.479,489.639,327.024,486.491,702.553,123.396,142.039,730.737,660.963,834.281,563.411,457.682,474.789,712.528,462.407,663.864,169.175,702.667,818.661,485.368
ROCKET BODY,Russia,11432.04,2016,357.386,715.351,517.164,480.337,536.64,990.746,612.194,370.558,400.295,807.972,64.378,503.471,364.05,971.903,562.719,529.27,275.497,64.302,374.766,575.006,430.132,513.975,781.296,915.786,180.005,627.926,456.929,355.612,888.23,797.303,388.552,928.292,858.945,843.184,822.496,338.926,104.142,969.408,463.77,836.504,629.323,29.426,737.319,395.495,506.084,176.94
SATELLITE,USA,30583.46,1962,774.814,427.138,836.475,205.21,736.937,703.881,636.303,742.072,628.343,956.456,954.45,347.991,877.278,671.05,127.332,341.773,843.231,481.203,159.334,238.441,760.292,799.303,539.615,102.038,92.942,905.801,784.353,433.55,292.35,647.946,360.757,395.206,926.493,316.951,919.242,868.732,387.259,484.31,361.572,354.285,710.891,200.361,594.926,762.375,672.067,359.336
PAYLOAD,China,22507.81,2017,993.222,274.55,768.321,344.103,926.435,662.981,465.343,897.993,37.259,786.307,517.984,535.317,994.533,801.983,500.974,21.422,370.441,850.249,139.064,74.085,607.633,347.206,913.926,679.357,115.339,857.15,835.006,337.543,92.431,972.182,939.545,966.2,251.465,122.474,330.834,31.982,838.045,612.945,583.788,262.098,389.026,718.422,772.846,473.211,162.838,134.191
DEBRIS,China,34332.0,1984,538.945,316.584,751.958,930.276,735.6,186.147,596.626,388.792,865.811,681.649,235.956,76.862,215.347,101.077,225.683,53.792,783.364,198.398,520.049,659.825,479.129,330.679,768.594,671.517,975.657,943.939,956.431,209.134,978.306,351.176,562.118,434.335,250.285,272.274,524.941,797.41,268.475,824.412,417.356,505.744,613.363,537.441,902.575,907.399,925.448,790.338
SATELLITE,USA,22536.93,1963,194.74,520.718,650.279,808.824,829.369,709.591,999.892,411.493,277.844,403.18,491.678,262.377,408.438,318.838,699.568,220.643,757.732,262.183,482.186,975.794,421.394,501.012,284.64,794.531,625.902,539.311,292.049,908.143,660.663,433.575,970.508,720.368,147.685,218.561,181.187,310.954,655.659,151.307,841.335,7.056,415.826,673.981,885.923,925.683,664.945,259.425
FRAGMENT,China,1129.99,2013,840.827,998.245,164.409,842.168,103.669,731.118,911.316,710.493,957.573,702.432,335.852,614.377,496.515,481.66,440.963,788.272,513.329,177.549,392.422,729.236,195.92,950.906,185.12,482.472,7.072,263.512,404.682,758.117,480.437,591.553,19.972,514.258,949.062,514.124,459.573,650.502,862.675,477.172,562.185,681.634,965.936,803.715,686.171,738.579,57.398,359.992
ROCKET BODY,China,29312.99,2017,908.195,39.226,596.56,549.623,125.647,706.662,508.757,429.596,706.026,205.476,213.213,362.442,26.011,712.308,806.381,677.205,214.237,32.808,784.61,563.755,613.287,349.502,797.271,329.289,282.703,134.024,428.155,722.004,685.566,795.147,959.501,340.683,463.378,545.61,191.878,945.796,290.732,376.055,528.09,690.286,383.819,451.923,342.885,96.76,449.965,409.471
FRAGMENT,Russia,17492.33,1975,179.587,929.477,686.126,366.76,696.551,956.616,664.548,734.657,925.271,276.589,720.754,832.558,993.855,152.26,531.616,836.306,303.47,129.021,566.731,124.332,592.63,407.307,523.369,362.919,556.353,117.5,691.669,5.889,921.692,346.525,10.515,932.062,298.658,656.694,942.887,979.149,892.694,21.481,341.982,544.338,354.184,138.335,813.565,45.136,935.559,237.913
PAYLOAD,China,29178.08,2007,649.66,375.602,297.326,686.595,465.619,400.837,83.972,954.541,711.801,968.764,599.465,421.536,617.194,184.427,248.338,950.533,258.221,968.849,497.993,321.624,739.663,366.213,66.034,740.842,855.61,515.364,299.16,71.847,867.941,265.46,373.082,253.222,900.222,634.742,7.187,688.678,97.391,467.076,125.204,697.731,641.97,762.528,30.809,731.925,563.376,389.697
FRAGMENT,India,25942.96,1998,308.549,875.851,306.358,176.374,351.466,325.171,62.811,401.03,147.416,730.1,770.15,602.223,147.911,962.717,228.384,185.725,451.729,903.343,851.288,648.946,237.979,370.079,808.359,426.502,518.372,507.416,706.916,278.918,577.923,896.875,634.322,392.291,769.5,703.766,756.775,338.29,258.455,981.42,624.671,499.344,829.102,735.29,127.903,99.09,215.155,709.434
FRAGMENT,USA,9642.95,1973,118.074,806.898,189.622,553.334,128.077,513.029,738.007,937.417,80.613,833.705,483.429,187.511,681.206,337.463,738.894,936.594,862.862,752.942,679.941,730.92,102.842,77.197,982.754,18.711,469.237,986.054,383.715,364.758,787.762,121.087,958.375,656.056,390.013,90.217,900.172,273.038,441.724,786.859,220.724,633.257,219.457,996.825,66.892,956.213,674.546,644.975
ROCKET BODY,USA,24159.25,1983,216.479,665.36,653.669,54.701,318.393,718.548,800.698,285.434,666.813,507.711,334.798,463.357,689.727,392.874,461.449,73.693,931.935,937.66,367.48,564.663,762.966,163.286,181.729,63.013,857.056,917.981,900.15,242.435,882.14,715.963,356.026,924.12,594.06,600.176,476.461,38.091,490.444,516.798,649.75,814.661,829.141,711.537,865.802,576.299,920.956,825.106
DEBRIS,Russia,19735.62,2012,136.055,851.885,478.098,949.779,52.006,380.566,914.811,600.498,257.885,336.115,762.518,801.114,111.75,620.101,947.321,586.324,420.744,137.37,422.288,513.331,694.14,618.692,744.283,231.243,482.7,470.175,256.537,995.564,210.234,385.512,979.984,919.686,96.124,24.394,796.136,270.27,324.969,870.255,93.76,189.373,942.153,32.767,959.789,63.383,140.671,798.506
PAYLOAD,India,27294.62,1991,766.486,847.39,383.868,376.632,832.569,27.883,794.603,92.645,918.185,165.879,124.877,393.615,402.191,528.919,790.283,614.657,87.468,452.931,83.891,189.49,19.928,394.892,170.122,755.275,161.172,657.614,460.945,673.18,830.727,108.28,708.664,871.837,303.134,864.375,118.25,462.376,746.946,97.744,172.056,96.571,607.393,221.536,932.182,257.433,712.607,686.507
PAYLOAD,Japan,7842.31,2011,183.871,589.221,99.216,539.014,460.998,362.836,232.429,947.952,708.831,638.771,26.822,383.187,59.488,673.402,333.895,702.308,422.506,350.126,575.166,588.408,405.256,451.127,60.814,630.112,832.286,118.475,78.976,89.692,210.232,18.138,61.768,909.807,954.992,90.464,370.106,393.382,589.851,2.512,100.615,900.585,966.095,88.759,915.733,952.292,224.203,460.52
PAYLOAD,Russia,11241.5,1971,574.019,488.645,807.422,413.134,272.613,909.262,213.342,515.102,218.594,33.441,486.544,895.962,497.626,215.524,213.549,882.387,224.499,711.513,524.317,254.256,584.702,345.615,49.619,437.3,424.321,420.725,796.423,833.781,947.053,650.671,824.072,567.933,979.892,833.67,244.178,392.086,121.694,445.044,208.01,152.638,896.195,858.667,498.851,878.486,47.14,944.066
PAYLOAD,India,29977.61,1981,848.764,115.343,166.083,243.5,313.134,917.207,704.793,534.572,273.54,439.633,258.55,758.865,889.698,60.684,126.983,135.215,897.746,679.708,281.176,237.381,394.95,806.894,667.71,677.377,152.455,205.824,296.74,255.356,797.071,37.903,60.936,456.418,689.095,862.792,220.913,29.808,790.633,343.106,589.716,15.612,817.485,294.433,665.222,859.252,61.713,529.15
PAYLOAD,USA,26003.37,2025,180.944,13.146,345.507,58.178,381.124,329.024,389.924,591.618,360.558,571.189,688.743,172.592,173.144,542.399,823.271,424.634,418.365,0.157,726.025,694.166,551.356,716.546,915.671,887.453,137.781,844.23,86.103,148.977,924.404,263.136,218.048,364.406,570.816,211.518,572.299,347.996,323.098,571.627,768.675,457.394,120.25,815.852,889.591,197.902,796.459,684.349
ROCKET BODY,Russia,9887.45,1993,761.996,464.979,375.627,440.223,62.695,410.562,979.193,805.938,954.007,217.249,330.182,408.176,954.968,856.416,308.082,132.555,84.698,79.588,324.319,176.429,483.664,262.026,169.063,106.402,182.977,291.482,385.721,582.368,306.294,154.26,313.102,804.028,489.059,262.973,177.569,169.039,624.629,396.258,333.397,486.814,51.181,391.596,993.02,616.612,928.256,812.455
SATELLITE,Japan,5176.39,1986,404.655,390.12,192.101,782.86,74.368,96.035,391.565,154.422,204.973,444.012,490.239,819.877,58.117,560.857,293.54,757.297,506.419,410.476,993.445,922.019,859.277,587.38,99.546,67.859,587.9,629.826,104.27,655.435,880.272,137.462,397.405,433.584,184.901,594.865,389.463,99.108,295.959,204.886,493.089,130.921,243.445,241.113,741.327,585.76,712.302,894.618
FRAGMENT,Other,33134.8,1962,83.711,124.411,656.271,868.575,381.81,623.534,798.092,819.85,62.194,9.312,602.526,232.501,892.557,52.493,737.14,182.161,71.713,778.208,604.365,876.234,370.391,330.813,338.715,385.354,773.418,749.434,517.405,250.245,570.832,303.106,875.276,64.049,19.607,190.342,424.626,200.57,558.769,853.853,533.15,243.996,423.084,56.348,830.463,363.521,438.11,99.115
PAYLOAD,Russia,7108.66,1998,338.154,634.318,291.591,724.171,377.024,728.466,362.599,659.936,862.48,185.061,771.161,504.848,363.843,871.808,432.064,978.241,726.822,61.945,463.261,707.163,984.984,396.338,761.04,654.388,627.647,929.898,222.745,494.081,120.662,886.276,7.761,418.594,162.525,638.102,972.519,996.104,73.38,324.13,687.112,396.315,878.651,77.965,718.9,452.451,892.777,1.05
PAYLOAD,USA,16654.9,1960,361.518,435.422,285.175,213.624,10.12,802.013,181.62,573.365,287.397,488.234,30.039,15.74,824.836,545.493,666.374,798.893,545.219,445.079,578.326,447.422,580.147,53.394,383.841,620.178,561.542,142.667,453.821,361.494,768.895,952.127,589.26,279.305,543.751,685.095,102.805,187.479,595.895,110.445,723.291,186.085,715.057,884.35,199.948,261.185,655.896,896.34
DEBRIS,ESA,8586.85,2021,992.799,171.634,825.713,852.723,938.622,835.541,211.849,922.101,359.394,243.374,360.835,326.221,445.372,680.591,779.942,306.141,502.007,302.499,780.985,139.245,147.134,640.798,203.404,551.115,988.291,85.738,89.06,5.425,477.705,200.321,410.098,858.356,325.703,296.321,608.632,232.847,193.998,904.523,647.698,403.071,867.351,99.199,851.91,19.099,55.607,62.849
ROCKET BODY,ESA,12371.09,1966,850.174,291.764,822.774,40.367,514.828,6.942,87.197,656.109,290.212,276.985,505.462,446.887,296.25,93.355,286.527,440.424,954.048,663.573,798.108,609.055,850.22,686.139,115.293,2.065,856.246,323.162,921.043,38.192,158.392,891.316,587.201,972.272,786.753,256.801,104.842,740.526,499.957,558.425,23.886,283.838,361.896,329.193,373.728,221.193,420.022,604.862
ROCKET BODY,Other,1429.51,1991,805.614,582.547,80.668,1.934,611.462,500.254,505.982,288.514,365.473,815.66,897.349,315.62,298.377,612.169,661.321,654.647,170.48,966.944,156.387,52.96,353.213,929.966,855.632,308.043,898.899,264.498,826.64,27.264,88.057,709.634,180.684,696.948,623.736,627.703,439.226,853.393,752.224,337.243,223.867,832.872,395.32,935.932,777.346,701.797,739.694,606.762
PAYLOAD,ESA,2362.18,1998,873.981,148.699,92.306,140.847,585.445,285.741,678.118,523.587,501.382,181.653,54.117,863.827,45.35,216.383,510.112,210.153,918.645,849.495,4.003,70.138,906.207,698.439,180.99,569.23,646.289,708.522,213.586,976.764,130.656,607.15,147.795,559.189,900.562,119.574,557.28,309.374,209.39,703.578,345.431,493.083,634.644,152.207,141.25,400.315,514.264,325.448
ROCKET BODY,India,6543.47,1978,4.551,992.573,386.969,163.658,355.955,180.007,806.595,956.857,283.08,730.935,945.605,940.527,210.063,900.892,150.586,814.15,310.013,526.301,87.255,132.939,745.538,238.132,216.809,498.891,232.401,465.983,597.017,735.187,397.42,160.372,335.216,737.584,899.912,107.582,442.654,343.962,197.744,347.191,897.791,604.07,390.955,626.362,78.755,583.636,429.379,46.798
PAYLOAD,Japan,10402.05,2010,336.107,162.031,528.009,781.898,213.693,92.048,83.291,474.9,425.735,792.473,673.61,591.309,93.822,333.46,187.878,145.079,513.685,404.637,855.898,348.311,23.507,702.399,85.425,435.485,564.953,903.27,206.853,42.015,918.956,792.369,831.845,661.052,44.631,34.646,407.393,994.386,385.407,685.215,325.341,992.495,777.293,999.334,990.57,940.724,107.946,599.838
ROCKET BODY,Russia,29289.37,2006,675.083,929.11,568.661,371.432,693.794,764.542,547.622,633.737,95.053,917.913,423.607,830.179,807.877,204.497,997.831,107.962,723.955,386.169,438.128,391.591,507.976,899.848,55.037,455.555,310.448,689.742,132.49,498.22,383.184,789.795,134.032,722.147,727.371,820.548,908.14,233.14,235.982,885.431,983.813,800.8,310.956,504.031,364.786,313.865,742.115,463.335
PAYLOAD,USA,14719.1,1971,428.651,777.111,263.959,191.118,33.093,207.766,618.138,516.587,663.45,782.959,672.613,639.144,917.687,18.462,149.753,956.822,65.211,7.339,849.253,340.817,286.329,949.845,125.75,264.392,797.491,336.547,606.277,323.751,739.565,312.015,347.546,896.573,962.666,909.654,479.643,219.684,840.269,507.627,782.012,172.374,820.308,401.11,525.679,745.237,353.991,412.163
DEBRIS,ESA,34813.24,1991,557.27,368.423,259.626,885.829,600.398,948.911,121.494,797.701,300.962,803.886,45.132,961.551,637.053,20.413,549.008,633.04,247.701,188.409,30.94,749.624,36.956,164.98,677.688,608.32,466.402,775.178,8.316,380.724,441.284,440.006,783.406,225.263,672.173,680.116,303.994,512.242,446.013,359.359,945.497,599.985,764.089,146.229,73.695,735.422,794.44,535.571
DEBRIS,USA,13721.57,2007,777.529,680.032,847.365,897.974,834.61,199.817,85.576,169.378,822.197,41.807,250.11,6.847,576.529,665.296,45.433,858.03,956.139,743.396,386.129,0.816,843.373,324.546,927.74,232.421,173.246,670.158,359.169,697.045,458.785,991.523,939.17,365.213,339.338,828.795,910.163,564.807,146.616,28.059,273.475,364.099,158.747,611.241,342.399,500.984,618.106,520.144
SATELLITE,Other,9015.48,1973,515.628,184.755,640.354,636.818,603.927,777.506,963.027,478.341,860.2,557.094,603.709,761.273,263.458,521.883,284.685,543.94,810.752,361.255,707.935,926.889,526.426,497.27,317.911,512.299,795.329,32.753,160.017,603.018,535.552,476.628,6.056,115.123,379.194,135.782,891.23,230.801,210.974,199.752,832.752,644.131,334.08,778.904,696.08,914.147,600.285,947.986
DEBRIS,India,4664.1,2021,434.894,69.074,627.636,458.67,8.232,460.699,35.091,985.121,700.37,397.049,908.348,745.327,626.703,219.546,907.846,594.33,565.639,211.584,217.482,810.824,268.257,818.351,238.572,945.999,753.124,823.876,193.556,414.823,561.972,808.047,648.098,722.085,19.536,84.182,460.529,403.48,938.898,583.724,17.712,71.861,212.526,200.444,931.123,314.537,955.438,497.78
PAYLOAD,USA,30441.29,1998,589.44,449.907,143.303,790.745,708.927,858.076,878.186,746.278,101.445,970.696,728.825,84.648,719.02,57.971,142.311,627.095,647.152,892.519,6.847,463.257,553.25,408.099,90.991,128.914,24.937,16.527,799.297,62.148,34.042,109.046,896.864,404.474,441.713,677.46,421.489,697.866,635.606,170.433,247.23,512.438,832.803,9.242,889.56,152.1,299.645,33.919
ROCKET BODY,USA,21526.25,2020,233.51,713.699,933.249,666.202,465.602,704.57,911.989,46.118,215.257,60.85,944.755,44.153,851.024,201.848,415.563,843.486,326.876,86.756,594.266,423.598,99.678,242.136,32.88,37.809,258.522,546.693,386.819,277.34,115.121,424.506,40.138,484.079,375.632,771.09,476.378,901.157,869.427,280.3,682.883,566.458,887.192,787.266,955.112,698.137,31.132,299.679
DEBRIS,India,15681.8,2002,270.978,705.371,127.738,332.673,945.051,309.807,836.96,984.2,618.711,597.628,535.244,296.981,159.957,208.466,717.463,800.907,756.86,354.556,156.793,627.243,248.506,549.628,529.171,49.166,935.837,828.199,838.428,38.111,582.357,334.771,558.236,627.355,520.859,540.951,446.403,440.856,170.168,707.983,917.087,787.602,66.563,835.923,859.061,29.336,887.323,871.291
